,Index of Roll in AllRollsWildemount.csv,Episode,Time,Character,Type of Roll,Total Value,Natural Value,Crit?,Damage Dealt,# Kills,Notes
344,2258,2018-02-21 00:00:00,02:04:42,Jester,Healing,7,,,,,"Healing Word (1st), Beau heals 7 points, is conscious"
345,2260,2018-02-21 00:00:00,02:07:58,Jester,Damage,9,,,9 Radiant to Troll,,Sacred Flame
346,2290,2018-02-21 00:00:00,02:19:52,Jester,Investigation,14,13,,,,
347,2293,2018-02-21 00:00:00,02:27:51,Jester,Religion,Unknown,Unknown,,,,
348,2296,2018-02-21 00:00:00,02:38:47,Jester,Investigation,12,11,,,,
349,2299,2018-02-21 00:00:00,02:44:46,Jester,Investigation,17,16,,,,
350,2307,2018-02-21 00:00:00,03:00:46,Jester,Stealth,10,6,,,,
351,2318,2018-02-21 00:00:00,03:02:31,Jester,Initiative,6,2,,,,
352,2359,2018-02-21 00:00:00,03:34:16,Jester,Healing,11,,,,,"Cure Wounds (2nd), Fjord heals 11 points, is conscious"
353,2360,2018-02-21 00:00:00,03:34:53,Jester,Spell Attack,21,14,,,,Spiritual Weapon
354,2361,2018-02-21 00:00:00,03:35:22,Jester,Damage,8,,,8 Force to Merrow 4,,
355,2395,2018-02-22 00:00:00,00:22:09,Jester,Perception,12,8,,,,
356,2397,2018-02-22 00:00:00,00:28:08,Jester,Damage,10,,,10 Radiant to Merrow,,Sacred Flame
357,2428,2018-02-22 00:00:00,00:57:34,Jester,Stealth,18,14,,,,
358,2433,2018-02-22 00:00:00,01:01:09,Jester,Initiative,8,4,,,,
359,2443,2018-02-22 00:00:00,01:05:42,Jester,Spell Attack,Unknown,Unknown,,,,Spiritual Weapon
360,2444,2018-02-22 00:00:00,01:06:11,Jester,Damage,7,,,7 Necrotic to Merrow 1,,Toll the Dead
361,2462,2018-02-22 00:00:00,01:19:33,Jester,Spell Attack,15,8,,,,Spiritual Weapon
362,2463,2018-02-22 00:00:00,01:19:46,Jester,Damage,11,,,11 Force to Merrow 1,1.0,HDYWTDT
363,2485,2018-02-22 00:00:00,01:33:21,Jester,Healing,11,,,,,"Healing Word (2nd), Beau heals 11 points, is conscious"
364,2516,2018-02-22 00:00:00,01:49:21,Jester,Spell Attack,Nat1,1,,,,Disregarded due to advantage
365,2517,2018-02-22 00:00:00,01:49:21,Jester,Spell Attack,11,4,,,,Inflict Wounds (1st) with advantage
366,2518,2018-02-22 00:00:00,01:50:24,Jester,Spell Attack,Unknown,Unknown,,,,Spiritual Weapon
367,2519,2018-02-22 00:00:00,01:50:29,Jester,Damage,11,,,11 Force to Merrow 6,,
368,2548,2018-02-22 00:00:00,02:03:09,Jester,Healing,12,,,,,"Cure Wounds (2nd), Caleb heals 12 points"
369,2560,2018-02-22 00:00:00,02:10:43,Jester,Spell Attack,11,4,,,,Inflict Wounds (3rd)
370,2561,2018-02-22 00:00:00,02:11:25,Jester,Spell Attack,Nat1,1,,,,Spiritual Weapon
371,2579,2018-02-22 00:00:00,02:21:06,Jester,Attack,15,8,,,,Handaxe AoO
372,2580,2018-02-22 00:00:00,02:21:19,Jester,Damage,5,,,5 to Merrow Shallow Priest,0.5,HDYWTDT
373,2583,2018-02-22 00:00:00,02:22:30,Jester,Healing,12,,,,,"Cure Wounds, Caleb heals 12 points, is conscious"
374,2584,2018-02-22 00:00:00,02:25:17,Jester,Healing,8,,,,,"Prayer of Healing (3rd), All hurt heal 8 points"
375,2587,2018-02-22 00:00:00,02:30:47,Jester,Investigation,4,3,,,,
376,2590,2018-02-22 00:00:00,02:39:25,Jester,Investigation,11,10,,,,
377,2607,2018-02-22 00:00:00,03:22:16,Jester,Healing,12,,,,,"Cure Wounds (1st), Beau heals 12 points"
378,2608,2018-02-22 00:00:00,03:22:16,Jester,Healing,12,Unknown,,,,"Cure Wounds (1st), Caleb heals 12 points"
379,2626,2018-02-23 00:00:00,00:32:02,Jester,Initiative,7,3,,,,
380,2639,2018-02-23 00:00:00,00:37:47,Jester,Spell Attack,Unknown,Unknown,,,,Disregarded due to advantage
381,2640,2018-02-23 00:00:00,00:37:47,Jester,Spell Attack,25,19,,,,Spiritual Weapon with advantage
382,2641,2018-02-23 00:00:00,00:37:56,Jester,Damage,12,,,12 Force to Troll,,
383,2642,2018-02-23 00:00:00,00:38:39,Jester,Damage,14,,,14 Necrotic to Troll,,Toll the Dead
384,2659,2018-02-23 00:00:00,00:48:30,Jester,Spell Attack,14,7,,,,Spiritual Weapon
385,2660,2018-02-23 00:00:00,00:49:22,Jester,Spell Attack,10,3,,,,Guiding Bolt (3rd)
386,2681,2018-02-23 00:00:00,01:01:08,Jester,Healing,6,,,,,"Cure Wounds (1st), Fjord heals 6 points, is conscious"
387,2691,2018-02-23 00:00:00,01:09:56,Jester,Healing,11,,,,,"Cure Wounds (1st), Fjord heals 11 points, is conscious"
388,2692,2018-02-23 00:00:00,01:11:04,Jester,Medicine,12,5,,,,
389,2695,2018-02-23 00:00:00,01:13:34,Jester,Investigation,13,12,,,,
390,2696,2018-02-23 00:00:00,01:14:21,Jester,Medicine,10,3,,,,
391,2701,2018-02-23 00:00:00,01:29:27,Jester,Persuasion,Unknown,Unknown,,,,Disregarded due to advantage
392,2702,2018-02-23 00:00:00,01:29:27,Jester,Persuasion,22,18,,,,With advantage
393,2703,2018-02-23 00:00:00,01:38:46,Jester,Deception,20,16,,,,
394,2715,2018-02-23 00:00:00,02:12:02,Jester,Sleight of Hand,20,14,,,,
395,2717,2018-02-23 00:00:00,02:17:15,Jester,Insight,13,9,,,,
396,2722,2018-02-23 00:00:00,02:26:09,Jester,Perception,17,13,,,,
397,2725,2018-02-23 00:00:00,02:42:43,Jester,Perception,15,11,,,,
398,2737,2018-02-23 00:00:00,02:57:00,Jester,Stealth,Nat20,20,,,,
399,2750,2018-02-23 00:00:00,03:04:04,Jester,Persuasion,Nat1,1,,,,
400,2755,2018-02-23 00:00:00,03:18:14,Jester,Perception,13,9,,,,
401,2767,2018-02-24 00:00:00,00:28:01,Jester,Performance,8,7,,,,
402,2777,2018-02-24 00:00:00,01:20:56,Jester,Investigation,15,14,,,,
403,2778,2018-02-24 00:00:00,01:23:42,Jester,Insight,22,18,,,,
404,2783,2018-02-24 00:00:00,01:41:16,Jester,Persuasion,21,17,,,,
405,2792,2018-02-24 00:00:00,01:47:32,Jester,Performance,19,18,,,,
406,2811,2018-02-24 00:00:00,02:11:19,Jester,Investigation,16,15,,,,
407,2820,2018-02-24 00:00:00,03:24:17,Jester,Insight,Unknown,Unknown,,,,
408,2856,2018-02-25 00:00:00,02:12:39,Jester,Initiative,6,2,,,,
409,2877,2018-02-25 00:00:00,02:04:53,Jester,Spell Attack,15,12,,,,Spiritual Weapon
410,2878,2018-02-25 00:00:00,02:05:50,Jester,Spell Attack,26,19,,,,Guiding Bolt
411,2879,2018-02-25 00:00:00,02:06:11,Jester,Damage,14,,,14 to Gear Keeper,,
412,2910,2018-02-25 00:00:00,02:24:46,Jester,Healing,7,,,,,"Healing Word (1st), Caleb heals 7 points"
413,2911,2018-02-25 00:00:00,02:26:10,Jester,Damage,17,,,17 Necrotic to Gear Keeper,,Toll the Dead
414,2930,2018-02-25 00:00:00,02:33:42,Jester,Dexterity Save,10,6,,27 to Jester,,Against Shrapnel Blast
415,2941,2018-02-25 00:00:00,02:41:34,Jester,Healing,12,,,,,"Cure Wounds (1st), Beau heals 12 points, is conscious"
416,2942,2018-02-25 00:00:00,02:41:38,Jester,Healing,10,,,,,"Cure Wounds (1st), Caleb heals 10 points"
417,2963,2018-02-25 00:00:00,03:35:57,Jester,Strength,10,7,,,,
418,3615,C2E030,00:43:24,Jester,Healing,13,,,,,"Cure Wounds (2nd), Caleb heals 13 points"
419,3622,C2E030,01:54:09,Jester,Stealth,8,4,,,,
420,3626,C2E030,02:00:42,Jester,Perception,21,17,,,,
421,3632,C2E030,03:17:09,Jester,Insight,12,7,,,,
422,3636,C2E031,00:24:06,Jester,Forgery,15,8,,,,Dex + Prof
423,3637,C2E031,00:24:42,Jester,Dexterity,10,6,,,,
424,3640,C2E031,00:54:49,Jester,Persuasion,20,16,,,,
425,3641,C2E031,01:03:47,Jester,Investigation,Unknown,Unknown,,,,Disregarded due to advantage
426,3642,C2E031,01:03:47,Jester,Investigation,11,10,,,,With advantage
427,3643,C2E031,01:07:39,Jester,Perception,20,16,,,,
428,3645,C2E031,01:10:20,Jester,Religion,Nat1,1,,,,
429,3647,C2E031,01:13:33,Jester,Persuasion,7,3,,,,
430,3661,C2E031,01:59:11,Jester,Investigation,Unknown,Unknown,,,,Disregarded due to advantage
431,3662,C2E031,01:59:11,Jester,Investigation,9,8,,,,With advantage
432,3667,C2E031,02:08:24,Jester,Deception,16,12,,,,
433,3668,C2E031,02:10:18,Jester,Athletics,22,19,,,,
434,3671,C2E031,02:11:55,Jester,Acrobatics,21,17,,,,
435,3672,C2E031,02:12:30,Jester,Perception,23,19,,,,
436,3673,C2E031,02:13:44,Jester,Stealth,19,15,,,,
437,3677,C2E031,02:18:10,Jester,Blink,8,8,,,,
438,3678,C2E031,02:20:11,Jester,Blink,5,5,,,,
439,3679,C2E031,02:20:45,Jester,Athletics,12,9,,,,
440,3680,C2E031,02:21:09,Jester,Blink,Nat20,20,,,,
441,3681,C2E031,02:22:38,Jester,Deception,Unknown,Unknown,,,,Disregarded due to disadvantage
442,3682,C2E031,02:22:38,Jester,Deception,16,12,,,,With disadvantage
443,3683,C2E031,02:23:32,Jester,Blink,10,10,,,,
444,3684,C2E031,02:24:04,Jester,Wisdom,22,18,,,,
445,3686,C2E031,02:24:39,Jester,Blink,7,7,,,,
446,3687,C2E031,02:24:59,Jester,Blink,12,12,,,,
447,3688,C2E031,02:27:00,Jester,Blink,12,12,,,,
448,3691,C2E031,02:28:29,Jester,Blink,5,5,,,,
449,3692,C2E031,02:29:58,Jester,Stealth,Unknown,Unknown,,,,Disregarded due to advantage
450,3693,C2E031,02:29:58,Jester,Stealth,Nat20,20,,,,With advantage
451,3700,C2E032,00:58:34,Jester,Strength,11,8,,,,
452,3729,C2E032,02:15:19,Jester,Intelligence,Unknown,Unknown,,,,
453,3736,C2E032,02:24:04,Jester,Initiative,6,2,,,,
454,3746,C2E032,02:36:47,Jester,Spell Attack,24,17,,,,Spiritual Weapon
455,3747,C2E032,02:36:58,Jester,Damage,5,,,5 to Ettin 1,,
456,3748,C2E032,02:37:37,Jester,Damage,18,,,18 Necrotic to Ettin 1,,Toll the Dead
457,3777,C2E032,02:53:10,Jester,Spell Attack,19,12,,,,Guiding Bolt (3rd)
458,3778,C2E032,02:53:30,Jester,Damage,24,,,24 to Ettin 2,,
459,3787,C2E032,03:08:00,Jester,Perception,19,15,,,,
460,3790,C2E032,03:27:24,Jester,Animal Handling,12,8,,,,
461,3796,C2E033,00:32:22,Jester,Animal Handling,17,13,,,,
462,3798,C2E033,00:49:40,Jester,Persuasion,15,11,,,,
463,3799,C2E033,00:50:25,Jester,Deception,7,3,,,,
464,3801,C2E033,01:07:47,Jester,History,13,12,,,,
465,3810,C2E033,03:07:23,Jester,Persuasion,Unknown,Unknown,,,,Disregarded due to disadvantage
466,3811,C2E033,03:07:23,Jester,Persuasion,11,7,,,,With disadvantage
467,3812,C2E033,03:13:39,Jester,Stealth,8,4,,,,
468,3821,C2E034,00:33:23,Jester,Insight,Nat1,1,,,,
469,3839,C2E034,01:41:04,Jester,Strength,Unknown,Unknown,,,,
470,3840,C2E034,01:44:31,Jester,Strength,Nat20,20,,,,
471,3848,C2E034,01:57:06,Jester,Strength,9,6,,,,
472,3850,C2E034,01:57:43,Jester,Perception,Unknown,Unknown,,,,
473,3851,C2E034,01:58:30,Jester,Investigation,18,17,,,,
474,3856,C2E034,02:04:36,Jester,Initiative,19,15,,,,
475,3866,C2E034,02:08:32,Jester,Spell Attack,14,7,,,,Spiritual Weapon against WE1
476,3867,C2E034,02:08:40,Jester,Damage,11,,,11 Force to WE1,,
477,3868,C2E034,02:09:24,Jester,Damage,11,,,11 Necrotic to WE1,,Toll the Dead against WE1
478,3886,C2E034,02:22:10,Jester,Spell Attack,16,9,,,,Spiritual Weapon against WE1
479,3887,C2E034,02:22:19,Jester,Damage,5,,,5 Force to WE1,,
480,3888,C2E034,02:22:51,Jester,Spell Attack,18,11,,,,Guiding Bolt against WE2
481,3889,C2E034,02:23:00,Jester,Damage,15,,,15 Radiant to WE2,,
482,3906,C2E034,02:37:48,Jester,Animal Handling,23,19,,,,
483,3910,C2E034,02:43:58,Jester,Stealth,19,5,,,,with PWaT
484,3921,C2E034,02:56:01,Jester,Initiative,9,5,,,,
485,3940,C2E034,03:19:31,Jester,Spell Attack,Nat20,20,,,,Spiritual Weapon against Algar
486,3941,C2E034,03:19:49,Jester,Damage,10,,,10 Force to Algar,,
487,3962,C2E034,03:39:14,Jester,Healing,19,,,19 Healing to Caduceus,,Cure Wounds (3rd)
488,3963,C2E034,03:40:12,Jester,Spell Attack,Nat20,20,,,,Disregarded due to disadvantage
489,3964,C2E034,03:40:12,Jester,Spell Attack,15,8,,,,Spiritual Weapon
490,3969,C2E034,03:48:17,Jester,Dexterity Save,7,3,,13 Cold to Jester,,
491,3970,C2E034,03:49:16,Jester,Damage,11,,,5 (11/2) Cold to WE,,
492,3984,C2E034,04:00:49,Jester,Healing,22,,,22 Healing to Caduceus,,Cure Wounds (3rd)
493,3985,C2E034,04:01:10,Jester,Spell Attack,Unknown,Unknown,,,,Disregarded due to disadvantage
494,3986,C2E034,04:01:10,Jester,Spell Attack,19,12,,,,Spiritual Weapon against G2
495,3987,C2E034,04:01:17,Jester,Damage,12,,,12 Force to G2,1.0,G2 dies
496,4006,C2E035,00:39:45,Jester,Disguise Kit,20,12,,,,dex+prof
497,4010,C2E035,00:55:22,Jester,Damage,11,,,11 radiant to Fjord's Specter,,
498,4012,C2E035,00:58:12,Jester,Forgery Kit,Unknown,Unknown,,,,Disregarded due to advantage
499,4013,C2E035,00:58:12,Jester,Forgery Kit,22,14,,,,"dex+prof, fragment of possibility used"
500,4016,C2E035,01:05:36,Jester,Perception,Nat20,20,,,,
501,4025,C2E035,01:33:37,Jester,Perception,14,10,,,,
502,4027,C2E035,01:37:15,Jester,Performance,7,6,,,,
503,4042,C2E035,01:49:01,Jester,Initiative,13,9,,,,
504,4070,C2E035,02:20:43,Jester,Damage,6,,,,,
505,4100,C2E035,03:19:45,Jester,Damage,21,,,11 to Enforcer,,Hellish Rebuke against Enforcer
506,4102,C2E035,03:22:53,Jester,Intimidation,13,12,,,,
507,4105,C2E035,03:25:17,Jester,Attack,25,18,,,,Handaxe against Enforcer
508,4106,C2E035,03:25:21,Jester,Damage,10,,,10 to Enforcer,1.0,Enforcer dies
509,4121,C2E036,01:43:12,Jester,Forgery Kit,20,15,,,,INT+prof
510,4122,C2E036,01:45:44,Jester,Disguise Kit,21,14,,,,DEX+prof
511,4131,C2E036,02:25:21,Jester,Perception,15,11,,,,
512,4141,C2E036,02:48:59,Jester,Investigation,12,11,,,,
513,4144,C2E036,02:50:44,Jester,Initiative,18,14,,,,
514,4153,C2E036,02:53:56,Jester,Wisdom Save,24,17,,,,
515,4157,C2E036,02:57:02,Jester,Spell Attack,12,5,,,,Spiritual Weapon against Singing Harpy
516,4158,C2E036,02:57:42,Jester,Damage,12,,,12 to Singing Harpy,,
517,4159,C2E036,02:58:11,Jester,Damage,7,,,7 to Singing Harpy,,Toll the Dead
518,4181,C2E036,03:12:35,Jester,Spell Attack,16,9,,,,Spiritual Weapon against Harpy
519,4182,C2E036,03:12:42,Jester,Damage,8,,,8 to Harpy,,
520,4183,C2E036,03:13:21,Jester,Spell Attack,25,18,,,,Guiding Bolt against Harpy
521,4184,C2E036,03:13:32,Jester,Damage,7,,,7 to Harpy,1.0,Harpy dies
522,4193,C2E036,03:21:24,Jester,Perception,Unknown,Unknown,,,,Disregarded due to disadvantage
523,4194,C2E036,03:21:24,Jester,Perception,12,8,,,,
524,4210,C2E036,03:34:54,Jester,Perception,9,5,,,,
525,4211,C2E036,03:36:40,Jester,Strength,Unknown,Unknown,,,,Disregarded due to advantage
526,4212,C2E036,03:36:40,Jester,Strength,12,9,,,,
527,4214,C2E036,03:40:24,Jester,Check,2,2,,,,general d20 check
528,4228,C2E037,01:20:02,Jester,Performance,20,19,,,,
529,4231,C2E037,01:34:22,Jester,Investigation,12,11,,,,
530,4232,C2E037,01:44:52,Jester,Medicine,18,11,,,,
531,4246,C2E037,02:49:45,Jester,Insight,Nat1,1,,,,
532,4248,C2E038,00:13:57,Jester,Stealth,32,18,,,,With PWaT
533,4271,C2E038,00:38:10,Jester,Stealth,22,8,,,,With PWaT
534,4277,C2E038,00:40:41,Jester,Constitution Save,12,10,,,,
535,4279,C2E038,00:45:45,Jester,Nature,Nat1,1,,,,
536,4280,C2E038,00:51:29,Jester,Persuasion,22,18,,,,
537,4282,C2E038,01:03:19,Jester,Investigation,11,10,,,,
538,4286,C2E038,01:14:18,Jester,Investigation,Nat1,1,,,,
539,4292,C2E038,01:20:54,Jester,Initiative,13,9,,,,
540,4300,C2E038,01:25:24,Jester,Constitution Save,9,7,,,,Against Sleep Breath
541,4350,C2E038,01:47:06,Jester,Healing,Unknown,Unknown,,,,"Cure Wounds, Caduceus heals unknown points"
542,4354,C2E038,01:56:51,Jester,Perception,20,16,,,,
543,4357,C2E038,02:09:00,Jester,Stealth,Nat20,20,,,,With PWaT
544,4364,C2E038,02:12:01,Jester,Perception,8,4,,,,
545,4366,C2E038,02:25:47,Jester,Perception,14,10,,,,
546,4367,C2E038,02:29:25,Jester,Disguise Kit,8,Unknown,,,,Prof+Dex
547,4368,C2E038,02:29:40,Jester,Disguise Kit,17,10,,,,Prof+Dex
548,4369,C2E038,02:30:15,Jester,Disguise Kit,Nat1,1,,,,Prof+Dex
549,4376,C2E038,02:25:02,Jester,Stealth,Nat1,1,,,,With PWaT
550,4380,C2E038,02:41:20,Jester,Deception,Nat20,20,Y,,,
551,4383,C2E038,02:45:16,Jester,Deception,22,18,,,,
552,4399,C2E038,03:13:48,Jester,Deception,9,5,,,,
553,4400,C2E038,02:56:40,Jester,Acrobatics,Nat1,1,,,,
554,4401,C2E038,02:57:20,Jester,Acrobatics,7,3,,,,
555,4409,C2E038,02:59:22,Jester,Stealth,12,8,,,,
556,4423,C2E038,03:03:34,Jester,Stealth,19,15,,,,
557,4436,C2E039,00:13:35,Jester,Initiative,7,3,,,,
558,4483,C2E039,00:57:07,Jester,Nature,15,14,,,,
559,4486,C2E039,01:02:01,Jester,Perception,20,16,,,,
560,4491,C2E039,01:09:37,Jester,Medicine,24,17,,,,
561,4497,C2E039,01:27:09,Jester,Acrobatics,18,14,,,,
562,4503,C2E039,01:32:21,Jester,Perception,6,2,,,,
563,4518,C2E039,01:55:32,Jester,Damage,15,,,30 (15 to Vine 1 and Vine 2),,Spirit Guardians
564,4531,C2E039,01:58:44,Jester,Strength Save,Unknown,Unknown,,,,Disregarded due to advantage
565,4532,C2E039,01:58:44,Jester,Strength Save,22,19,,,,With advantage
566,4542,C2E039,02:04:15,Jester,Damage,14,,,14 to Vine 2,,Spiritual Guardians
567,4548,C2E039,02:06:57,Jester,Damage,5,,,5 to Vine 2,1.0,Sacred Flame
568,4556,C2E039,02:18:27,Jester,Strength,12,9,,,,
569,4560,C2E039,02:25:17,Jester,Perception,13,9,,,,
570,4566,C2E039,02:28:35,Jester,Stealth,15,11,,,,
571,4569,C2E039,02:45:12,Jester,Perception,19,15,,,,
572,4570,C2E039,02:45:58,Jester,Spell Attack,Unknown,Unknown,,,,Disregarded due to advantage
573,4571,C2E039,02:45:58,Jester,Spell Attack,23,16,,,,Inflict Wounds (3rd) with advantage
574,4574,C2E039,02:47:01,Jester,Damage,38,,,38 to Abomination,,
575,4580,C2E039,02:49:08,Jester,Initiative,8,4,,,,
576,4591,C2E039,03:00:38,Jester,Spell Attack,9,2,,,,Inflict Wounds (3rd) with advantage
577,4592,C2E039,03:00:38,Jester,Spell Attack,Unknown,Unknown,,,,Disregarded due to disadvantage
578,4612,C2E039,03:16:48,Jester,Spell Attack,16,9,,,,Guiding Bolt (1st) 
579,4613,C2E039,03:17:01,Jester,Damage,12,,,12 to Warden,,
580,4627,C2E039,03:29:41,Jester,Strength,11,8,,,,
581,4666,C2E039,04:01:03,Jester,Healing,10,,,,,"Cure Wounds (1st), Beau heals 10 points, is conscious"
582,4706,C2E40,00:58:52,Jester,Initiative,7,3,,,,
583,4717,C2E40,01:12:14,Jester,Damage,10,,,10 Necrotic to Broodguard 1,,Toll the Dead
584,4730,C2E40,01:24:05,Jester,Constitution Save,9,7,,,,
585,4741,C2E40,01:34:50,Jester,Dexterity,22,18,,,,
586,4748,C2E40,01:38:37,Jester,Acrobatics,23,19,,,,
587,4749,C2E40,01:39:48,Jester,Healing,5,,,,,"Cure Wounds (1st), Caduceus heals 5 points, is conscious"
588,4765,C2E40,01:51:39,Jester,Constitution Save,8,6,,,,1 point of exhaustion
589,4775,C2E40,01:58:56,Jester,Constitution Save,16,14,,,,
590,4789,C2E41,00:37:55,Jester,Dexterity,17,13,,,,
591,4792,C2E41,00:49:20,Jester,Perception,Unknown,Unknown,,,,
592,4801,C2E41,01:22:51,Jester,Persuasion,17,13,,,,
593,4802,C2E41,01:24:15,Jester,Dexterity,19,15,,,,
594,4834,C2E41,02:51:59,Jester,Perception,Nat20,20,,,,
595,4848,C2E42,00:33:42,Jester,Attack,15,9,,4 to Sorris,,Unarmed Strike
596,4849,C2E42,00:34:08,Jester,Initiative,16,12,,,,
597,4850,C2E42,00:34:38,Jester,Athletics,16,13,,,,
598,4851,C2E42,00:35:49,Jester,Attack,Nat1,1,,,,Unarmed Strike
599,4852,C2E42,00:36:50,Jester,Attack,23,17,,4 to Sorris,,Unarmed Strike
600,4853,C2E42,00:37:22,Jester,Attack,16,10,,,,Unarmed Strike (Grapple)
601,4854,C2E42,00:37:36,Jester,Athletics,5,2,,,,
602,4855,C2E42,00:38:22,Jester,Attack,19,13,,4 to Sorris,,Unarmed Strike
603,4856,C2E42,00:38:47,Jester,Athletics,6,3,,,,
604,4857,C2E42,00:39:23,Jester,Attack,13,7,,,,Unarmed Strike
605,4858,C2E42,00:40:13,Jester,Attack,16,10,,4 to Sorris,,Unarmed Strike
606,4859,C2E42,00:41:26,Jester,Healing,6,,,,,"Cure Wounds (1st), Sorris heals 6 points"
607,4860,C2E42,00:41:47,Jester,Persuasion,21,17,,,,
608,4862,C2E42,00:53:40,Jester,History,19,18,,,,
609,4865,C2E42,01:01:54,Jester,Perception,15,11,,,,
610,4868,C2E42,01:28:48,Jester,Hit Dice,Unknown,Unknown,,,,Jester heals unknown points
611,4869,C2E42,01:33:22,Jester,Perception,19,15,,,,
612,4879,C2E42,02:13:43,Jester,Stealth,Nat20,20,,,,With PWaT
613,4884,C2E42,02:16:40,Jester,Investigation,9,8,,,,
614,4887,C2E42,02:20:38,Jester,Strength,18,15,,,,
615,4889,C2E42,02:23:57,Jester,Stealth,18,14,,,,With PWaT
616,4899,C2E42,02:39:18,Jester,Perception,Unknown,Unknown,,,,Disregarded due to advantage
617,4900,C2E42,02:39:18,Jester,Perception,22,18,,,,With advantage
618,4902,C2E42,02:42:03,Jester,Stealth,21,7,,,,With PWaT
619,4904,C2E42,02:44:20,Jester,Athletics,19,16,,,,
620,4905,C2E42,02:45:01,Jester,Stealth,Nat20,20,,,,With PWaT
621,4918,C2E42,03:07:15,Jester,Deception,8,4,,,,
622,4921,C2E42,03:29:57,Jester,Perception,13,9,,,,
623,4922,C2E42,03:35:04,Jester,Perception,7,3,,,,
624,4923,C2E42,03:35:56,Jester,Persuasion,22,18,,,,
625,4924,C2E42,03:36:21,Jester,Sleight of Hand,15,9,,,,
626,4926,C2E43,00:18:01,Jester,Initiative,19,15,,,,
627,4948,C2E43,00:51:57,Jester,Deception,14,10,,,,
628,4968,C2E43,01:22:35,Jester,Deception,20,16,,,,
629,4979,C2E43,01:49:55,Jester,Deception,8,4,,,,
630,4989,C2E43,02:17:17,Jester,Perception,Nat1,1,,,,Disregarded due to disadvantage
631,4990,C2E43,02:17:17,Jester,Perception,Nat1,1,,,,With disadvantage
632,4996,C2E43,02:54:00,Jester,Wisdom,6,2,,,,
633,4997,C2E43,02:54:04,Jester,Wisdom,8,4,,,,
634,4999,C2E43,02:54:26,Jester,Wisdom,15,11,,,,
635,5002,C2E43,02:55:25,Jester,Wisdom,20,16,,,,
636,5004,C2E43,02:55:35,Jester,Wisdom,Unknown,Unknown,,,,
637,5006,C2E43,02:55:43,Jester,Wisdom,16,12,,,,
638,5008,C2E43,02:55:57,Jester,Wisdom,6,2,,,,
639,5011,C2E43,02:57:09,Jester,Wisdom,Unknown,Unknown,,,,
640,5012,C2E43,02:58:06,Jester,Wisdom,Unknown,Unknown,,,,
641,5015,C2E43,02:58:27,Jester,Wisdom,18,14,,,,
642,5018,C2E43,02:58:40,Jester,Wisdom,Unknown,Unknown,,,,
643,5019,C2E43,02:58:47,Jester,Wisdom,21,17,,,,
644,5027,C2E43,03:20:26,Jester,Perception,14,10,,,,
645,5037,C2E044,00:33:52,Jester,Perception,14,10,,,,
646,5039,C2E044,00:36:47,Jester,Investigation,13,12,,,,
647,5047,C2E044,00:49:07,Jester,Initiative,15,11,,,,
648,5052,C2E044,00:51:29,Jester,Spell Attack,16,9,,,,Guiding Bolt
649,5053,C2E044,00:51:48,Jester,Damage,17,,,17 radiant to Merrow 1,,
650,5076,C2E044,01:11:59,Jester,Spell Attack,22,15,,,,Guiding Bolt
651,5077,C2E044,01:12:11,Jester,Damage,12,,,12 radiant to Merrow SP,,
652,5099,C2E044,01:27:48,Jester,Perception,22,18,,,,
653,5102,C2E044,01:29:22,Jester,Stealth,6,2,,,,
654,5110,C2E044,01:42:45,Jester,Perception,17,13,,,,
655,5116,C2E044,02:02:24,Jester,Perception,13,9,,,,
656,5128,C2E044,02:19:22,Jester,Perception,23,19,,,,
657,5130,C2E044,02:25:52,Jester,Damage,4,,,4 radiant to seaweed,,Sacred Flame
658,5139,C2E044,02:36:57,Jester,Initiative,20,16,,,,
659,5150,C2E044,02:44:38,Jester,Wisdom Save,14,7,,,,Against Lament of the Dead
660,5168,C2E044,03:00:26,Jester,Damage,13,,,13 radiant to Dashilla,,Spirit Guardians damage
661,5169,C2E044,03:02:21,Jester,Spell Attack,Nat19,19,,,,Spiritual Weapon (4th) against Dashilla
662,5170,C2E044,03:02:47,Jester,Damage,27,,,27 force to Dashilla,,
663,5172,C2E044,03:06:15,Jester,Damage,13,,,13 radiant to Dashilla,,Spirit Guardians damage
664,5186,C2E044,03:17:53,Jester,Spell Attack,Nat20,20,,,,Disregarded due to disadvantage
665,5187,C2E044,03:17:53,Jester,Spell Attack,16,9,,,,Spiritual Weapon with disadvantage
666,5188,C2E044,03:18:41,Jester,Spell Attack,Nat20,20,,,,Guiding Bolt
667,5189,C2E044,03:18:59,Jester,Damage,32,,,32 radiant to Dashilla,,
668,5190,C2E044,03:20:04,Jester,Dexterity Save,22,18,,,,Against Tethering Walls 
669,5199,C2E044,03:21:35,Jester,Damage,5,,,2 (5/2) to Dashilla,,
670,5200,C2E044,03:22:34,Jester,Damage,15,,,15 cold to Dashilla,,Hellish Rebuke
671,5212,C2E044,03:30:16,Jester,Wisdom Save,17,10,,,,Against Lament of the Dead
672,5234,C2E044,03:47:59,Jester,Healing,6,,,,,"Cure Wounds, Caleb heals 6 points"
673,5235,C2E044,03:48:02,Jester,Healing,12,,,,,"Cure Wounds, Fjord heals 12 points"
674,5236,C2E044,03:49:25,Jester,Investigation,9,8,,,,
675,5237,C2E044,03:50:58,Jester,Perception,16,12,,,,
