,Episode,Time,Character,Type of Roll,Total Value,Natural Value,Crit?,Damage Dealt,# Kills,Notes
2628,2018-02-23 00:00:00,00:32:27,Caleb,Spell Attack,Nat20,20,Y,,,Fire Bolt
2629,2018-02-23 00:00:00,00:32:43,Caleb,Damage,11,,,22 (11x2) Fire to Troll,,
2630,2018-02-23 00:00:00,00:33:27,Nott,Attack,9,2,,,,Hand Crossbow with disadvantage
2631,2018-02-23 00:00:00,00:33:27,Nott,Attack,Unknown,Unknown,,,,Disregarded due to disadvantage
2632,2018-02-23 00:00:00,00:33:45,Nott,Attack,Unknown,Unknown,,,,Disregarded due to disadvantage
2633,2018-02-23 00:00:00,00:33:45,Nott,Attack,13,6,,,,Hand Crossbow with disadvantage
2634,2018-02-23 00:00:00,00:35:45,Beau,Attack,Unknown,Unknown,,,,Disregarded due to disadvantage
2635,2018-02-23 00:00:00,00:35:45,Beau,Attack,19,12,,,,Throwing Star with disadvantage
2636,2018-02-23 00:00:00,00:35:54,Beau,Attack,Nat20,20,Y,,,Disregarded due to disadvantage
2637,2018-02-23 00:00:00,00:35:54,Beau,Attack,14,7,,,,Throwing Star with disadvantage
2638,2018-02-23 00:00:00,00:36:03,Beau,Damage,4,,,4 to Troll,,
2639,2018-02-23 00:00:00,00:37:47,Jester,Spell Attack,Unknown,Unknown,,,,Disregarded due to advantage
2640,2018-02-23 00:00:00,00:37:47,Jester,Spell Attack,25,19,,,,Spiritual Weapon with advantage
2641,2018-02-23 00:00:00,00:37:56,Jester,Damage,12,,,12 Force to Troll,,
2642,2018-02-23 00:00:00,00:38:39,Jester,Damage,14,,,14 Necrotic to Troll,,Toll the Dead
2643,2018-02-23 00:00:00,00:39:08,Fjord,Spell Attack,10,3,,,,Eldritch Blast with disadvantage
2644,2018-02-23 00:00:00,00:38:08,Fjord,Spell Attack,Unknown,Unknown,,,,Disregarded due to disadvantage
2645,2018-02-23 00:00:00,00:39:12,Fjord,Spell Attack,Unknown,Unknown,,,,Disregarded due to disadvantage
2646,2018-02-23 00:00:00,00:39:12,Fjord,Spell Attack,19,12,,,,Eldritch Blast with disadvantage
2647,2018-02-23 00:00:00,00:39:20,Fjord,Damage,11,,,11 (7 + 4 Necrotic to Troll),,
2648,2018-02-23 00:00:00,00:39:50,Caleb,Dexterity,7,6,,,,
2649,2018-02-23 00:00:00,00:41:12,Beau,Constitution Save,16,13,,9 (18/2) Poison to Beau,,Against Venom Spray
2650,2018-02-23 00:00:00,00:41:18,Yasha,Constitution Save,11,6,,18 Poison to Yasha,,Against Venom Spray
2651,2018-02-23 00:00:00,00:42:43,Caleb,Damage,11,,,11 to Troll,,Magic Missile
2652,2018-02-23 00:00:00,00:42:56,Nott,Attack,11,4,,,,Hand Crossbow
2653,2018-02-23 00:00:00,00:43:29,Nott,Attack,26,19,,,,Hand Crossbow
2654,2018-02-23 00:00:00,00:43:37,Nott,Damage,6,,,6 to Troll,,
2655,2018-02-23 00:00:00,00:45:04,Molly,Athletics,4,4,,,,
2656,2018-02-23 00:00:00,00:46:16,Beau,Dexterity,8,4,,,,
2657,2018-02-23 00:00:00,00:47:47,Yasha,Dexterity,7,5,,,,
2658,2018-02-23 00:00:00,00:48:30,Yasha,Constitution Save,17,12,,,,"Against Poisoned, Yasha is no longer poisoned"
2659,2018-02-23 00:00:00,00:48:30,Jester,Spell Attack,14,7,,,,Spiritual Weapon
2660,2018-02-23 00:00:00,00:49:22,Jester,Spell Attack,10,3,,,,Guiding Bolt (3rd)
2661,2018-02-23 00:00:00,00:50:16,Fjord,Spell Attack,16,9,,,,Witch Bolt (3rd)
2662,2018-02-23 00:00:00,00:50:28,Fjord,Damage,20,,,20 (18 Lightning + 2 Necrotic) to Troll,,
2663,2018-02-23 00:00:00,00:51:54,Molly,Attack,11,5,,,,Summer's Dance
2664,2018-02-23 00:00:00,00:51:55,Molly,Attack,19,13,,,,Summer's Dance
2665,2018-02-23 00:00:00,00:52:06,Molly,Damage,10,,,10 to Troll,,
2666,2018-02-23 00:00:00,00:52:37,Molly,Attack,Nat20,20,Y,,,Summer's Dance AoO
2667,2018-02-23 00:00:00,00:53:09,Molly,Damage,21,,,21 to Troll,,
2668,2018-02-23 00:00:00,00:56:00,Fjord,Constitution Save,Unknown,Unknown,,,,Disregarded due to advantage
2669,2018-02-23 00:00:00,00:56:00,Fjord,Constitution Save,11,6,,,,Concentration with advantage
2670,2018-02-23 00:00:00,00:56:04,Fjord,Constitution Save,Unknown,Unknown,,,,Disregarded due to advantage
2671,2018-02-23 00:00:00,00:56:04,Fjord,Constitution Save,Unknown,Unknown,,,,Concentration with advantage
2672,2018-02-23 00:00:00,00:56:49,Nott,Attack,Unknown,Unknown,,,,Hand Crossbow SA
2673,2018-02-23 00:00:00,00:56:49,Nott,Damage,17,,,17 to Troll,,
2674,2018-02-23 00:00:00,00:57:30,Nott,Attack,Unknown,Unknown,,,,Hand Crossbow
2675,2018-02-23 00:00:00,00:57:36,Nott,Damage,6,,,6 to Troll,,
2676,2018-02-23 00:00:00,00:58:41,Molly,Attack,Unknown,Unknown,,,,Disregarded due to advantage
2677,2018-02-23 00:00:00,00:58:41,Molly,Attack,20,14,,,,Summer's Dance with advantage
2678,2018-02-23 00:00:00,00:58:53,Molly,Damage,9,,,9 to Troll,1.0,HDYWTDT
2679,2018-02-23 00:00:00,01:00:04,Molly,Damage,2,,,,,Disregarded
2680,2018-02-23 00:00:00,01:00:05,Fjord,Constitution Save,20,15,,,,Disregarded
2681,2018-02-23 00:00:00,01:01:08,Jester,Healing,6,,,,,"Cure Wounds (1st), Fjord heals 6 points, is conscious"
2682,2018-02-23 00:00:00,01:01:22,Molly,Perception,12,9,,,,
2683,2018-02-23 00:00:00,01:07:55,Caleb,Spell Attack,20,12,,,,Glove of Scorching Ray
2684,2018-02-23 00:00:00,01:08:02,Caleb,Spell Attack,18,10,,,,Glove of Scorching Ray
2685,2018-02-23 00:00:00,01:08:03,Caleb,Spell Attack,20,12,,,,Glove of Scorching Ray
2686,2018-02-23 00:00:00,01:08:07,Nott,Attack,22,15,,,,Hand Crossbow
2687,2018-02-23 00:00:00,01:08:13,Nott,Damage,5,,,5 to Troll,,
2688,2018-02-23 00:00:00,01:08:25,Caleb,Damage,27,,,27 Fire to Troll,1.0,HDYWTDT
2689,2018-02-23 00:00:00,01:09:07,Caleb,Wisdom Save,11,5,,,,
2690,2018-02-23 00:00:00,01:09:43,Fjord,Death Save,19,19,,,,Fjord succeeds one death save
2691,2018-02-23 00:00:00,01:09:56,Jester,Healing,11,,,,,"Cure Wounds (1st), Fjord heals 11 points, is conscious"
2692,2018-02-23 00:00:00,01:11:04,Jester,Medicine,12,5,,,,
2693,2018-02-23 00:00:00,01:12:25,Molly,Investigation,10,10,,,,
2694,2018-02-23 00:00:00,01:12:29,Nott,Investigation,20,14,,,,
2695,2018-02-23 00:00:00,01:13:34,Jester,Investigation,13,12,,,,
2696,2018-02-23 00:00:00,01:14:21,Jester,Medicine,10,3,,,,
2697,2018-02-23 00:00:00,01:16:20,Molly,Healing,Unknown,Unknown,,,,Hit Dice
2698,2018-02-23 00:00:00,01:16:44,Yasha,Healing,Unknown,Unknown,,,,Hit Dice
2699,2018-02-23 00:00:00,01:16:47,Fjord,Healing,39,,,,,"Hit Dice, Fjord heals 39 points"
2700,2018-02-23 00:00:00,01:16:50,Beau,Healing,Unknown,Unknown,,,,Hit Dice
2701,2018-02-23 00:00:00,01:29:27,Jester,Persuasion,Unknown,Unknown,,,,Disregarded due to advantage
2702,2018-02-23 00:00:00,01:29:27,Jester,Persuasion,22,18,,,,With advantage
2703,2018-02-23 00:00:00,01:38:46,Jester,Deception,20,16,,,,
2704,2018-02-23 00:00:00,01:41:45,Nott,Stealth,14,5,,,,
2705,2018-02-23 00:00:00,01:42:21,Fjord,Persuasion,9,5,,,,
2706,2018-02-23 00:00:00,01:43:30,Caleb,Persuasion,9,6,,,,
2707,2018-02-23 00:00:00,01:44:32,Caleb,Perception,9,6,,,,
2708,2018-02-23 00:00:00,01:45:52,Yasha,Intimidation,0,2,,,,With CHA mod
2709,2018-02-23 00:00:00,01:50:58,Molly,Arcana,Nat20,20,,,,
2710,2018-02-23 00:00:00,01:53:14,Fjord,Wisdom Save,18,16,,,,
2711,2018-02-23 00:00:00,01:54:34,Fjord,Intelligence,10,8,,,,
2712,2018-02-23 00:00:00,02:07:14,Caleb,Investigation,13,5,,,,Disregarded due to advantage
2713,2018-02-23 00:00:00,02:07:14,Caleb,Investigation,14,6,,,,With advantage
2714,2018-02-23 00:00:00,02:12:02,Molly,Deception,7,4,,,,
2715,2018-02-23 00:00:00,02:12:02,Jester,Sleight of Hand,20,14,,,,
2716,2018-02-23 00:00:00,02:17:15,Nott,Insight,18,15,,,,
2717,2018-02-23 00:00:00,02:17:15,Jester,Insight,13,9,,,,
2718,2018-02-23 00:00:00,02:17:19,Molly,Insight,14,8,,,,
2719,2018-02-23 00:00:00,02:25:15,Fjord,Perception,16,15,,,,
2720,2018-02-23 00:00:00,02:25:17,Caleb,Perception,5,2,,,,
2721,2018-02-23 00:00:00,02:26:06,Molly,Perception,20,17,,,,
2722,2018-02-23 00:00:00,02:26:09,Jester,Perception,17,13,,,,
2723,2018-02-23 00:00:00,02:28:43,Caleb,Perception,13,10,,,,
2724,2018-02-23 00:00:00,02:37:17,Molly,Persuasion,9,9,,,,
2725,2018-02-23 00:00:00,02:42:43,Jester,Perception,15,11,,,,
2726,2018-02-23 00:00:00,02:43:46,Caleb,Perception,17,14,,,,
2727,2018-02-23 00:00:00,02:48:04,Beau,Perception,Unknown,Unknown,,,,
2728,2018-02-23 00:00:00,02:48:11,Yasha,Perception,15,,,,,
2729,2018-02-23 00:00:00,02:50:28,Nott,Perception,6,6,,,,
2730,2018-02-23 00:00:00,02:50:28,Caleb,Perception,13,10,,,,
2731,2018-02-23 00:00:00,02:51:35,Nott,Stealth,Nat1,1,,,,
2732,2018-02-23 00:00:00,02:52:11,Nott,Perception,12,12,,,,
2733,2018-02-23 00:00:00,02:52:16,Frumpkin,Perception,5,2,,,,
2734,2018-02-23 00:00:00,02:53:37,Nott,Perception,13,13,,,,
2735,2018-02-23 00:00:00,02:54:36,Nott,Perception,15,15,,,,
2736,2018-02-23 00:00:00,02:56:34,Nott,Perception,6,6,,,,
2737,2018-02-23 00:00:00,02:57:00,Jester,Stealth,Nat20,20,,,,
2738,2018-02-23 00:00:00,02:57:00,Molly,Stealth,Nat1,1,,,,
2739,2018-02-23 00:00:00,02:57:00,Yasha,Stealth,16,,,,,
2740,2018-02-23 00:00:00,02:57:00,Caleb,Stealth,14,13,,,,
2741,2018-02-23 00:00:00,02:57:00,Beau,Stealth,14,7,,,,
2742,2018-02-23 00:00:00,02:57:00,Fjord,Stealth,4,4,,,,
2743,2018-02-23 00:00:00,03:00:59,Fjord,Perception,14,13,,,,
2744,2018-02-23 00:00:00,03:01:42,Beau,Attack,Unknown,Unknown,,,,Disregarded due to advantage
2745,2018-02-23 00:00:00,03:01:42,Beau,Attack,16,9,,,,Unarmed Strike
2746,2018-02-23 00:00:00,03:01:53,Beau,Damage,12,,,12 to Bandit,,
2747,2018-02-23 00:00:00,03:02:16,Beau,Attack,Nat20,20,,,,"Unarmed Strike, Bandit goes unconscious"
2748,2018-02-23 00:00:00,03:03:17,Nott,Attack,13,6,,,,Hand Crossbow
2749,2018-02-23 00:00:00,03:03:25,Nott,Damage,8,,,8 to Bandit,,
2750,2018-02-23 00:00:00,03:04:04,Jester,Persuasion,Nat1,1,,,,
2751,2018-02-23 00:00:00,03:05:14,Caleb,Investigation,15,7,,,,
2752,2018-02-23 00:00:00,03:05:22,Beau,Investigation,Nat20,20,,,,
2753,2018-02-23 00:00:00,03:08:22,Caleb,Deception,Unknown,Unknown,,,,Disregarded due to advantage
2754,2018-02-23 00:00:00,03:08:22,Caleb,Deception,Nat20,20,,,,
2755,2018-02-23 00:00:00,03:18:14,Jester,Perception,13,9,,,,
2756,2018-02-23 00:00:00,03:24:19,Beau,Perception,14,7,,,,
2757,2018-02-23 00:00:00,03:25:03,Beau,History,5,3,,,,Disregarded due to advantage
2758,2018-02-23 00:00:00,03:25:03,Beau,History,9,7,,,,With advantage
2759,2018-02-23 00:00:00,03:26:43,Nott,Perception,13,13,,,,
2760,2018-02-23 00:00:00,03:26:56,Yasha,Perception,18,,,,,
2761,2018-02-23 00:00:00,03:30:19,Fjord,Deception,16,9,,,,
2762,2018-02-24 00:00:00,00:15:16,Beau,Perception,9,6,,,,
2763,2018-02-24 00:00:00,00:16:21,Fjord,Perception,15,14,,,,
2764,2018-02-24 00:00:00,00:21:30,Caleb,Spell Attack,26,19,,,,Fire Bolt
2765,2018-02-24 00:00:00,00:22:53,Nott,Intelligence,18,15,,,,With advantage
2766,2018-02-24 00:00:00,00:22:53,Nott,Intelligence,Unknown,Unknown,,,,Disregarded due to advantage
2767,2018-02-24 00:00:00,00:28:01,Jester,Performance,8,7,,,,
2768,2018-02-24 00:00:00,00:30:19,Beau,Charisma,8,7,,,,
2769,2018-02-24 00:00:00,00:30:19,Molly,Charisma,6,6,,,,
2770,2018-02-24 00:00:00,00:40:54,Molly,Intimidation,4,4,,,,
2771,2018-02-24 00:00:00,00:42:04,Nott,Sleight of Hand,27,17,,,,
2772,2018-02-24 00:00:00,00:48:23,Beau,Dexterity,Nat1,1,,,,
2773,2018-02-24 00:00:00,01:05:06,Nott,Insight,20,17,,,,
2774,2018-02-24 00:00:00,01:08:38,Molly,Investigation,2,2,,,,
2775,2018-02-24 00:00:00,01:09:00,Caleb,Perception,19,16,,,,
2776,2018-02-24 00:00:00,01:20:05,Caleb,Perception,16,13,,,,
2777,2018-02-24 00:00:00,01:20:56,Jester,Investigation,15,14,,,,
2778,2018-02-24 00:00:00,01:23:42,Jester,Insight,22,18,,,,
2779,2018-02-24 00:00:00,01:38:08,Molly,Constitution,12,10,,,,
2780,2018-02-24 00:00:00,01:39:02,Molly,Constitution,8,6,,,,
2781,2018-02-24 00:00:00,01:39:18,Molly,Constitution,20,18,,,,
2782,2018-02-24 00:00:00,01:39:43,Molly,Constitution,19,17,,,,
2783,2018-02-24 00:00:00,01:41:16,Jester,Persuasion,21,17,,,,
2784,2018-02-24 00:00:00,01:41:16,Beau,Constitution,16,13,,,,
2785,2018-02-24 00:00:00,01:41:56,Beau,Constitution,21,18,,,,
2786,2018-02-24 00:00:00,01:42:19,Beau,Constitution,7,4,,,,
2787,2018-02-24 00:00:00,01:42:39,Beau,Constitution,19,16,,,,
2788,2018-02-24 00:00:00,01:43:43,Beau,Constitution,9,6,,,,
2789,2018-02-24 00:00:00,01:44:19,Beau,Constitution,5,2,,,,
2790,2018-02-24 00:00:00,01:46:20,Caleb,Constitution,21,19,,,,
2791,2018-02-24 00:00:00,01:46:50,Caleb,Constitution,5,3,,,,
2792,2018-02-24 00:00:00,01:47:32,Jester,Performance,19,18,,,,
2793,2018-02-24 00:00:00,01:47:35,Nott,Performance,12,15,,,,
2794,2018-02-24 00:00:00,01:47:44,Caleb,Constitution,13,11,,,,
2795,2018-02-24 00:00:00,01:48:15,Caleb,Constitution,14,12,,,,
2796,2018-02-24 00:00:00,01:48:42,Caleb,Constitution,Nat20,20,,,,
2797,2018-02-24 00:00:00,01:50:23,Fjord,Constitution,16,12,,,,
2798,2018-02-24 00:00:00,01:50:46,Fjord,Constitution,13,9,,,,
2799,2018-02-24 00:00:00,01:51:37,Fjord,Constitution,8,4,,,,
2800,2018-02-24 00:00:00,01:51:55,Fjord,Constitution,Nat20,20,,,,
2801,2018-02-24 00:00:00,01:52:22,Fjord,Constitution,Nat20,20,,,,
2802,2018-02-24 00:00:00,01:55:42,Nott,Constitution,5,3,,,,Disregarded due to Fragment of Possibility
2803,2018-02-24 00:00:00,01:55:42,Nott,Constitution,17,15,,,,With Fragment of Possibility
2804,2018-02-24 00:00:00,01:56:39,Nott,Constitution,18,16,,,,
2805,2018-02-24 00:00:00,01:57:39,Nott,Constitution,14,12,,,,
2806,2018-02-24 00:00:00,01:58:33,Nott,Constitution,21,19,,,,
2807,2018-02-24 00:00:00,02:04:00,Caleb,Performance,Unknown,Unknown,,,,Disregarded due to disadvantage
2808,2018-02-24 00:00:00,02:04:00,Caleb,Performance,5,2,,,,With disadvantage
2809,2018-02-24 00:00:00,02:07:50,Beau,Constitution Save,6,3,,,,
2810,2018-02-24 00:00:00,02:07:45,Molly,Damage,Unknown,Unknown,,Unknown to Molly,,Blood Curse of Purgation (amplified)
2811,2018-02-24 00:00:00,02:11:19,Jester,Investigation,16,15,,,,
2812,2018-02-24 00:00:00,02:23:40,Beau,Insight,12,6,,,,
2813,2018-02-24 00:00:00,02:27:42,Beau,Charisma Save,16,15,,,,
2814,2018-02-24 00:00:00,02:43:15,Fjord,Persuasion,20,16,,,,
2815,2018-02-24 00:00:00,02:57:26,Beau,Intimidation,13,12,,,,
2816,2018-02-24 00:00:00,02:57:28,Fjord,Intimidation,16,9,,,,
2817,2018-02-24 00:00:00,03:08:43,Fjord,Perception,8,7,,,,
2818,2018-02-24 00:00:00,03:11:29,Beau,Acrobatics,25,18,,,,
2819,2018-02-24 00:00:00,03:12:00,Beau,Perception,14,11,,,,
2820,2018-02-24 00:00:00,03:24:17,Jester,Insight,Unknown,Unknown,,,,
2821,2018-02-25 00:00:00,00:29:19,Nott,Perception,Unknown,Unknown,,,,Disregarded due to disadvantage
2822,2018-02-25 00:00:00,00:29:19,Nott,Perception,7,7,,,,With disadvantage
2823,2018-02-25 00:00:00,00:33:41,Caleb,Intelligence,Nat1,1,,,,
2824,2018-02-25 00:00:00,00:33:48,Molly,Intelligence,8,6,,,,
2825,2018-02-25 00:00:00,00:48:35,Nott,Perception,18,18,,,,
2826,2018-02-25 00:00:00,00:51:42,Nott,Investigation,10,4,,,,
2827,2018-02-25 00:00:00,00:54:49,Molly,Acrobatics,Unknown,Unknown,,,,Disregarded due to advantage
2828,2018-02-25 00:00:00,00:54:49,Molly,Acrobatics,10,4,,,,With advantage
2829,2018-02-25 00:00:00,00:55:39,Molly,Performance,Nat20,20,,,,Disregarded due to disadvantage
2830,2018-02-25 00:00:00,00:55:39,Molly,Performance,15,15,,,,With disadvantage
2831,2018-02-25 00:00:00,00:57:18,Molly,Acrobatics,Nat20,20,,,,
2832,2018-02-25 00:00:00,00:57:56,Molly,Deception,9,6,,,,
2833,2018-02-25 00:00:00,01:00:18,Nott,Sleight of Hand,19,9,,,,
2834,2018-02-25 00:00:00,01:03:39,Beau,Persuasion,Unknown,Unknown,,,,Disregarded due to advantage
2835,2018-02-25 00:00:00,01:03:39,Beau,Persuasion,13,12,,,,With advantage
2836,2018-02-25 00:00:00,01:11:53,Molly,Persuasion,Unknown,Unknown,,,,Disregarded due to advantage
2837,2018-02-25 00:00:00,01:11:53,Molly,Persuasion,8,8,,,,With advantage
2838,2018-02-25 00:00:00,01:19:12,Molly,Perception,15,12,,,,
2839,2018-02-25 00:00:00,01:28:56,Nott,Thieves' Tools,14,7,,,,
2840,2018-02-25 00:00:00,01:29:15,Nott,Perception,4,4,,,,
2841,2018-02-25 00:00:00,01:30:38,Caleb,Perception,Unknown,Unknown,,,,Disregarded due to advantage
2842,2018-02-25 00:00:00,01:30:38,Caleb,Perception,19,16,,,,With advantage
2843,2018-02-25 00:00:00,01:32:10,Molly,Perception,16,13,,,,
2844,2018-02-25 00:00:00,01:34:35,Caleb,Intelligence,15,10,,,,
2845,2018-02-25 00:00:00,01:35:18,Beau,Perception,7,4,,,,
2846,2018-02-25 00:00:00,01:40:07,Frumpkin,Stealth,19,15,,,,
2847,2018-02-25 00:00:00,01:42:11,Beau,Stealth,15,8,,,,
2848,2018-02-25 00:00:00,01:44:11,Nott,Dexterity Save,21,14,,,,
2849,2018-02-25 00:00:00,01:44:18,Beau,Dexterity Save,25,18,,,,
2850,2018-02-25 00:00:00,01:45:08,Yasha,Initiative,19,17,,,,
2851,2018-02-25 00:00:00,01:45:19,Fjord,Initiative,14,14,,,,
2852,2018-02-25 00:00:00,01:45:23,Beau,Initiative,10,6,,,,
2853,2018-02-25 00:00:00,01:45:31,Caleb,Initiative,6,5,,,,
2854,2018-02-25 00:00:00,01:45:35,Molly,Initiative,7,4,,,,
2855,2018-02-25 00:00:00,01:45:31,Nott,Initiative,7,3,,,,
2856,2018-02-25 00:00:00,02:12:39,Jester,Initiative,6,2,,,,
2857,2018-02-25 00:00:00,01:47:10,Yasha,Attack,11,4,,,,Magician's Judge
2858,2018-02-25 00:00:00,01:47:34,Yasha,Attack,21,14,,,,Magician's Judge
2859,2018-02-25 00:00:00,01:47:52,Yasha,Damage,16,,,16 to Gear Keeper,,
2860,2018-02-25 00:00:00,01:49:59,Fjord,Spell Attack,15,8,,,,Eldritch Blast
2861,2018-02-25 00:00:00,01:50:15,Fjord,Spell Attack,20,13,,,,Eldritch Blast
2862,2018-02-25 00:00:00,01:50:39,Fjord,Damage,9,,,9 to Gear Keeper,,
2863,2018-02-25 00:00:00,01:51:57,Yasha,Athletics,Unknown,Unknown,,,,Disregarded due to advantage
2864,2018-02-25 00:00:00,01:51:57,Yasha,Athletics,9,3,,5 (10/2) to Yasha,,With advantage
2865,2018-02-25 00:00:00,01:53:02,Nott,Attack,18,11,,1 to Gear Keeper,,Hand Crossbow as bludgeoning weapon
2866,2018-02-25 00:00:00,01:54:11,Nott,Dexterity Save,12,5,,25 to Nott,,Against Shrapnel Blast
2867,2018-02-25 00:00:00,01:54:14,Beau,Dexterity Save,22,15,,12 (25/2) to Beau,,Against Shrapnel Blast
2868,2018-02-25 00:00:00,01:55:33,Beau,Attack,9,2,,,,Staff
2869,2018-02-25 00:00:00,01:55:45,Beau,Attack,9,2,,,,Staff
2870,2018-02-25 00:00:00,01:56:17,Beau,Attack,17,10,,,,Unarmed Strike
2871,2018-02-25 00:00:00,01:57:26,Nott,Perception,17,17,,,,
2872,2018-02-25 00:00:00,02:00:10,Molly,Attack,Nat20,20,Y,,,Summer's Dance
2873,2018-02-25 00:00:00,02:00:27,Molly,Damage,18,,,18 to Gear Keeper,,
2874,2018-02-25 00:00:00,02:00:46,Molly,Attack,12,5,,,,Summer's Dance
2875,2018-02-25 00:00:00,02:01:18,Molly,Attack,14,8,,,,Scimitar
2876,2018-02-25 00:00:00,02:03:57,Caleb,Damage,5,,,5 to Gear Keeper,,Maximilian's Earthen Grasp
2877,2018-02-25 00:00:00,02:04:53,Jester,Spell Attack,15,12,,,,Spiritual Weapon
2878,2018-02-25 00:00:00,02:05:50,Jester,Spell Attack,26,19,,,,Guiding Bolt
2879,2018-02-25 00:00:00,02:06:11,Jester,Damage,14,,,14 to Gear Keeper,,
2880,2018-02-25 00:00:00,02:07:46,Yasha,Attack,Unknown,Unknown,,,,Disregarded due to advantage
2881,2018-02-25 00:00:00,02:07:46,Yasha,Attack,22,15,,,,Magician's Judge with advantage
2882,2018-02-25 00:00:00,02:08:08,Yasha,Damage,16,,,16 to Gear Keeper,,Gear Keeper AC lowered to 17
2883,2018-02-25 00:00:00,02:08:43,Yasha,Attack,Unknown,Unknown,,,,Disregarded due to advantage
2884,2018-02-25 00:00:00,02:08:43,Yasha,Attack,25,18,,,,Magician's Judge with advantage
2885,2018-02-25 00:00:00,02:08:55,Yasha,Damage,11,,,11 to Gear Keeper,,
2886,2018-02-25 00:00:00,02:09:57,Fjord,Attack,Unknown,Unknown,,,,Disregarded due to advantage
2887,2018-02-25 00:00:00,02:09:57,Fjord,Attack,25,18,,,,Wastehunter Falchion with advantage
2888,2018-02-25 00:00:00,02:10:25,Fjord,Damage,13,,,13 to Gear Keeper,,
2889,2018-02-25 00:00:00,02:10:48,Fjord,Attack,Unknown,Unknown,,,,Disregarded due to advantage
2890,2018-02-25 00:00:00,02:10:48,Fjord,Attack,23,16,,,,Wastehunter Falchion with advantage
2891,2018-02-25 00:00:00,02:11:01,Fjord,Damage,13,,,13 to Gear Keeper,,
2892,2018-02-25 00:00:00,02:13:55,Caleb,Constitution Save,5,3,,,,Concentration
2893,2018-02-25 00:00:00,02:15:57,Beau,Attack,11,4,,,,Disregarded due to advantage
2894,2018-02-25 00:00:00,02:15:57,Beau,Attack,18,11,,,,Staff with advantage
2895,2018-02-25 00:00:00,02:16:09,Beau,Damage,8,,,4 (8/2) to Gear Keeper,,
2896,2018-02-25 00:00:00,02:17:34,Beau,Attack,Unknown,Unknown,,,,Disregarded due to advantage
2897,2018-02-25 00:00:00,02:17:34,Beau,Attack,24,17,,,,Staff with advantage
2898,2018-02-25 00:00:00,02:17:44,Beau,Damage,10,,,5 (10/2) to Gear Keeper,,
2899,2018-02-25 00:00:00,02:18:43,Beau,Attack,Unknown,Unknown,,,,Disregarded due to advantage
2900,2018-02-25 00:00:00,02:18:43,Beau,Attack,22,15,,,,Unarmed Strike with advantage
2901,2018-02-25 00:00:00,02:18:50,Beau,Damage,5,,,2 (5/2) to Gear Keeper,,
2902,2018-02-25 00:00:00,02:19:28,Nott,Attack,22,15,,,,Hand Crossbow
2903,2018-02-25 00:00:00,02:19:39,Nott,Damage,8,,,6 (13/2) to Gear Keeper,,With Fury of the Small
2904,2018-02-25 00:00:00,02:20:27,Nott,Attack,14,7,,,,Hand Crossbow
2905,2018-02-25 00:00:00,02:21:06,Molly,Attack,Unknown,Unknown,,,,Summer's Dance
2906,2018-02-25 00:00:00,02:21:15,Molly,Attack,19,12,,,,Summer's Dance
2907,2018-02-25 00:00:00,02:21:32,Molly,Damage,12,,,12 to Gear Keeper,,
2908,2018-02-25 00:00:00,02:21:44,Molly,Attack,Nat20,20,Y,,,Scimitar
2909,2018-02-25 00:00:00,02:22:05,Molly,Damage,16,,,11 [5 (10/2) Slashing + 6 Cold] to Gear Keeper,,Gear Keeper AC lowered to 16
2910,2018-02-25 00:00:00,02:24:46,Jester,Healing,7,,,,,"Healing Word (1st), Caleb heals 7 points"
2911,2018-02-25 00:00:00,02:26:10,Jester,Damage,17,,,17 Necrotic to Gear Keeper,,Toll the Dead
2912,2018-02-25 00:00:00,02:27:33,Yasha,Attack,Unknown,Unknown,,,,Disregarded due to advantage
2913,2018-02-25 00:00:00,02:27:33,Yasha,Attack,19,12,,,,Magician's Judge with advantage
2914,2018-02-25 00:00:00,02:27:46,Yasha,Damage,17,,,17 to Gear Keeper,,
2915,2018-02-25 00:00:00,02:28:05,Yasha,Attack,Unknown,Unknown,,,,Disregarded due to advantage
2916,2018-02-25 00:00:00,02:28:05,Yasha,Attack,22,15,,,,Magician's Judge with advantage
2917,2018-02-25 00:00:00,02:28:13,Yasha,Damage,16,,,16 to Gear Keeper,,
2918,2018-02-25 00:00:00,02:29:33,Fjord,Attack,25,17,,,,Wastehunter Falchion
2919,2018-02-25 00:00:00,02:29:33,Fjord,Attack,22,14,,,,Wastehunter Falchion
2920,2018-02-25 00:00:00,02:29:49,Fjord,Damage,13,,,13 to Gear Keeper,,
2921,2018-02-25 00:00:00,02:29:52,Fjord,Damage,13,,,13 to Gear Keeper,,
2922,2018-02-25 00:00:00,02:31:31,Beau,Attack,24,17,,,,Staff aoO
2923,2018-02-25 00:00:00,02:31:43,Beau,Damage,12,,,6 (12/2) to Gear Keeper,,
2924,2018-02-25 00:00:00,02:32:16,Molly,Attack,24,17,,,,Summer's Dance AoO
2925,2018-02-25 00:00:00,02:32:24,Molly,Damage,9,,,9 to Gear Keeper,,
2926,2018-02-25 00:00:00,02:33:14,Caleb,Dexterity Save,20,19,,13 (27/2) to Caleb,,Against Shrapnel Blast
2927,2018-02-25 00:00:00,02:33:17,Beau,Dexterity Save,14,7,,27 to Beau,,"Against Shrapnel Blast, Beau is unconscious"
2928,2018-02-25 00:00:00,02:33:24,Molly,Dexterity Save,22,19,,13 (27/2) to Molly,,Against Shrapnel Blast
